,stamp,walk,mu_x,mu_y,mu_z,mu_rms,sigma_x,sigma_y,sigma_z,sigma_rms,speed
7924,1525941747.01,145-2,-230.44,-9.41,244.0,195.71415610176308,46.285271955558386,31.079605853356636,37.26231340107589,27.75966680950551,0.7249974074
7925,1530257091.01,481-2,-327.4,-39.25,-46.78,193.3869638549438,34.60751363504752,23.540762519510704,30.442266669878578,21.623418114781504,0.7250161856
7926,1527698727.01,915-1,-321.54,33.43,99.72,197.25429274414432,42.331647735470916,25.997790290715095,33.63690830025852,20.985248644562116,0.7250535516
7927,1527701161.01,52-2,-321.64,3.77,95.46,196.20283877509956,63.14008552417395,37.22146020778873,31.984189844359047,34.09568970694523,0.725074756
7928,1526565651.01,298-1,-255.06,-38.85,212.4,193.8708185133299,26.5170963719635,23.644185331704715,22.349049196777923,15.085171382459556,0.7251266116
7929,1531322199.01,181-2,-334.48,-50.18,30.76,197.69136232888206,29.733980560967613,23.801420125698385,38.88910387242164,18.783288509132575,0.7251972968
7930,1530261523.01,527-1,-307.78,8.69,145.38,196.64361021664115,8.712726324176604,5.513066297442838,4.5382375433641595,4.47815746697256,0.7252248899
7931,1530261537.01,527-1,-314.05,-13.61,142.26,203.22827416359138,32.732667169053,39.6539771019251,68.4071078178284,28.68649938829801,0.7252386831
7932,1531322066.01,181-2,-334.01,-56.67,30.52,197.65050655010967,42.48846784717003,19.440192900277506,33.887307358360594,24.76564678107703,0.7252603935
7933,1525277073.01,733-1,-259.7,43.79,197.48,192.42396891259995,41.98035254735246,27.55477998460521,46.26369635037823,25.436185273270567,0.7252809207
7934,1530258792.01,290-1,-338.36,-8.4,11.63,197.53615678816848,40.845445278513,24.68845884213919,40.69610669339267,22.845497616819685,0.7253425749
7935,1531322320.01,181-2,-330.81,-48.17,28.43,195.04791912912128,33.23994434411706,23.60976704671183,33.13434924666546,19.94156237776783,0.7253656516
7936,1525941521.01,145-2,-214.83,7.56,253.61,193.1945598057477,28.60561308554669,21.381449904064038,26.10666390023819,13.060196328158,0.7254597811
7937,1531321888.01,181-2,-333.29,-52.4,40.18,197.34004975703257,38.84978635719893,18.69598887462227,32.279522920885924,22.46437391126795,0.7255056522
7938,1525796186.01,78-2,-278.54,-9.55,186.12,195.0771639671958,41.36095260024845,28.115609543454678,29.209340971682327,22.401564644368605,0.7255269476
7939,1525945981.01,390-1,-327.38,-45.38,61.41,195.23558262293813,28.064133694094323,19.045093856424018,30.338785407461515,15.579386312750575,0.7255525356
7940,1527698909.01,915-2,-332.95,-27.55,22.72,193.5957220984016,10.435875622102824,15.489593280651365,7.9373547230799755,5.911264827862829,0.7255874066
